来源	客户名称	二月份有没有下单
箱信中台客户	青岛翔亿通国际物流有限公司	0
箱信中台客户	嘉兴祺达国际货运代理有限公司	1
箱信中台客户	深圳市长帆国际物流股份有限公司上海分公司	1
箱信中台客户	浙江沛洋国际货运代理有限公司	0
箱信中台客户	浙江德富国际物流有限公司	0
箱信中台客户	诚通物流包装有限公司	0
箱信中台客户	天津流涌化工贸易有限公司	1
箱信中台客户	上海嘉源神运国际物流有限公司	1
箱信中台客户	深圳越海全球供应链有限公司	1
Erp	北京奥泰隆石油化工物资有限公司	0
Erp	箱信（天津）国际货运代理有限公司	1
Erp	北京大陆舟物流有限公司	0
Erp	亓丽个人卡-微信	1
Erp	博贸国际货运代理（天津）有限公司	0
Erp	滴滴集运（天津）科技股份有限公司	0
Erp	河北艾尔希物流有限公司	0
Erp	辉捷国际货运代理（天津）有限公司	0
Erp	君利集运（天津）科技有限公司	0
Erp	山西华海国际货运代理有限公司	0
Erp	天津百盛通物流有限公司	0
Erp	天津滨海新区金华南物流有限公司	0
Erp	天津昌盛鳌龙物流有限公司	0
Erp	天津晟瑞物流有限公司	0
Erp	天津驰航物流有限公司	0
Erp	天津大广物流有限公司	0
Erp	天津德善物流发展有限公司	0
Erp	天津鼎邦国际货运代理有限公司	0
Erp	天津东坤货运代理有限公司	0
Erp	天津多盈国际货运代理有限公司	0
Erp	天津方兴货运代理有限公司	0
Erp	天津丰汇国际货运代理有限公司	0
Erp	天津富通达运输有限责任公司	0
Erp	天津港顺通物流有限公司	0
Erp	天津港湾祥浩货运代理有限公司	0
Erp	天津海航联运物流有限公司	0
Erp	天津合盛鑫物流有限公司	0
Erp	天津宏运英杰国际货运代理有限公司	0
Erp	天津洪瑞泽物流有限公司	0
Erp	天津鸿福运通国际货运代理有限公司	0
Erp	天津汇安物流有限公司	0
Erp	天津嘉杰货运代理有限公司	0
Erp	天津汇利恒通国际货运代理有限公司	0
Erp	天津吉通达物流有限公司	0
Erp	天津家民货运代理有限公司	0
Erp	天津金安国际货运代理有限公司	0
Erp	天津九州通国际物流有限公司	0
Erp	天津科瑞迪特物流有限公司	0
Erp	天津乐强国际物流有限公司	0
Erp	天津雷配国际货运代理有限公司	0
Erp	天津励鹏鸿烨物流有限公司	0
Erp	天津美福洛物流有限公司	0
Erp	天津鹏晟国际货运代理有限公司	0
Erp	天津鹏达物流有限公司	0
Erp	天津普捷伟业国际货运代理有限公司	0
Erp	天津勤达货运代理有限公司	0
Erp	天津荣安物流有限公司	0
Erp	天津瑞鑫源国际货运代理有限公司	0
Erp	天津润茂源物流有限公司	0
Erp	天津三羊国际货运代理有限公司	0
Erp	天津森海货运代理有限公司	0
Erp	天津尚凡国际货运代理有限公司	0
Erp	天津申联国际货运代理有限公司	0
Erp	易飞申特（天津）物流有限公司	0
Erp	辛集市陆港船舶服务有限公司	0
Erp	通捷国际货运代理（天津）有限公司	0
Erp	天津祖洋物流有限公司	0
Erp	天津圣邦联运国际货运代理有限公司	0
Erp	天津盛安货运代理有限公司	0
Erp	天津盛达国际货运代理有限公司	0
Erp	天津市爱尔西时代物流有限公司	0
Erp	天津市滨海新区塘沽瑞兴货运有限公司	0
Erp	天津市海泰富通物流有限公司	0
Erp	天津市豪涵物流有限公司	0
Erp	天津市捷迅达货运代理有限公司	0
Erp	天津市鑫盛晖国际货运代理有限公司	0
Erp	天津顺盈国际货运代理有限公司	0
Erp	天津天晨国际货运代理有限公司	0
Erp	天津天茂货运代理有限公司	0
Erp	天津旺世通物流有限公司	0
Erp	天津纬经桥国际货运代理有限公司	0
Erp	天津相成货运代理有限公司	0
Erp	天津新慧物流有限公司	0
Erp	天津鑫启航货运代理有限公司	0
Erp	天津鑫源杰运物流有限公司	0
Erp	天津鑫泽顺国际货运代理有限公司	0
Erp	天津星睿货运代理有限公司	0
Erp	天津兴禄物流有限公司	0
Erp	天津旭禾物流有限公司	0
Erp	天津冶村物流有限公司	0
Erp	天津英豪物流有限公司	0
Erp	天津永铭达物流有限公司	0
Erp	天津永翔物流有限公司	0
Erp	天津远展物流有限公司	0
Erp	天津蕴盛源货运代理有限公司	0
Erp	天津振远货运代理有限公司	0
Erp	天津中尚聚通国际货运代理有限公司	0
Erp	天津恒远货运代理有限公司	0
Erp	天津达通国际货运代理有限公司	0
Erp	天津滨海东旺运输有限公司	1
Erp	天津长达国际物流有限公司	0
Erp	天津市国敏国际货运代理有限公司	0
Erp	天津森辉国际货运代理有限公司	0
Erp	天津合盛鑫物流有限公司	1
Erp	天津荣峰物流有限公司	0
Erp	承德启辰物流有限公司	1
Erp	天津松海嘉禾国际货运代理有限公司	0
Erp	霸州宏麟家具有限公司	0
Erp	天津永盛源通国际货运代理有限公司	0
Erp	天津琦迅物流有限公司	0
Erp	天津玖富国际物流有限公司	0
Erp	承德启辰物流有限公司	0
Erp	辛集市陆港船舶服务有限公司	1
Erp	山西中津贸易有限公司	0
Erp	天津顺景程物流有限公司	0
Erp	天津优尼尔家具有限公司	0
Erp	天津顺景程物流有限公司	0
Erp	天津众合国际货运代理有限公司	0
Erp	鑫源盛和（天津）国际物流有限公司	0
Erp	柏瑞思(天津)家具贸易有限公司 	0
Erp	霸州市迈伦家具有限公司	0
Erp	南京晶明塑料装饰材料有限公司	1
Erp	霸州市双爱家具有限公司	1
Erp	苏美达国际技术贸易有限公司	1
Erp	霸州晨星家具有限公司	1
Erp	宏大地昆(天津)贸易有限公司	1
Erp	廊坊奈欧家具有限公司	0
Erp	青岛成达顺航国际物流有限公司	0
Erp	廊坊梵果家具有限公司	0
Erp	霸州市标典家具有限公司	1
Erp	天津阗旭运输有限公司 	1
Erp	黄骅市鼎岳金属制品有限公司	0
Erp	天津松海嘉禾国际货运代理有限公司	1
Erp	天津锐天国际货运代理有限公司	1
Erp	天津市瑞宝国际贸易有限公司	1
Erp	天津机电进出口有限公司-李彬	1
Erp	艾依兰斯国际贸易(北京)有限公司	0
Erp	廊坊鑫时利家具有限公司	1
Erp	天津市国敏国际货运代理有限公司	1
Erp	天津市金旭供应链管理有限公司	1
Erp	北京德仪恩贸易有限公司	1
